"","inexpfte","city","st_fips","avgfacsal","highdeg","ccugprof","main","tuitfte","locale","unitid","relaffil","curroper","distanceonly","womenonly","preddeg","annhi","ccbasic","zip","pftfac","hbcu","nanti","numbranch","control","pbi","menonly","hcm2","aanapii","hsi","accredagency","tribal","ccsizset","instnm","sch_deg","locale2","adm_rate","adm_rate_all","satvr25","satvr75","satmt25","satmt75","satwr25","satwr75","satvrmid","satmtmid","satwrmid","actcm25","actcm75","acten25","acten75","actmt25","actmt75","actwr25","actwr75","actcmmid","actenmid","actmtmid","actwrmid","sat_avg","sat_avg_all","ugds","ug","ugds_white","ugds_black","ugds_hisp","ugds_asian","ugds_aian","ugds_nhpi","ugds_2mor","ugds_nra","ugds_unkn","ugds_whitenh","ugds_blacknh","ugds_api","ugds_aianold","ugds_hispold","ug_nra","ug_unkn","ug_whitenh","ug_blacknh","ug_api","ug_aianold","ug_hispold","pptug_ef2","costt4_a","costt4_p","tuitionfee_in","tuitionfee_out","tuitionfee_prog","pctpell","year","pctfloan","ug25abv","par_ed_pct_ms","par_ed_pct_hs","par_ed_pct_ps","appl_sch_pct_ge2","appl_sch_pct_ge3","appl_sch_pct_ge4","appl_sch_pct_ge5","dep_inc_avg","ind_inc_avg","debt_mdn","grad_debt_mdn","loan_ever","pell_ever","age_entry","age_entry_sq","agege24","female","married","dependent","veteran","first_gen","faminc","md_faminc","faminc_ind","lnfaminc","lnfaminc_ind","pct_white","pct_black","pct_asian","pct_hispanic","pct_ba","pct_grad_prof","pct_born_us","median_hh_inc","poverty_rate","unemp_rate","ln_median_hh_inc"
"1",2747,"Prescott Valley",4,6008,4,5,1,13771,41,444130,-2,1,1,0,3,0,17,86314,0.2348,0,0,1,3,0,0,0,0,0,"Western Association of Schools and Colleges Senior Colleges and University Commission",0,12,"Northcentral University",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1792,"Tempe",4,NA,1,-2,0,7186,12,469133,-2,1,0,0,1,0,-2,85282,NA,0,0,9,3,0,0,0,0,0,"Accrediting Council for Continuing Education & Training",0,-2,"Utah College of Massage Therapy-Tempe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",9560,"Tucson",4,NA,1,-2,1,6702,11,476753,-2,1,0,0,1,0,-2,85719,NA,0,0,2,3,0,0,0,0,0,"National Accrediting Commission of Cosmetology Arts and Sciences",0,-2,"Aveda Institute-Tucson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2998,"Mesa",4,3417,2,11,0,14090,11,482990,-2,1,0,0,1,0,26,85201,NA,0,0,2,3,0,0,0,0,0,"Accrediting Bureau of Health Education Schools",0,6,"Arizona College-Mesa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",12870,"Phoenix",4,7976,4,0,1,45692,11,450942,-2,1,0,0,4,0,31,85004,0.3063,0,0,1,3,0,0,0,0,0,"American Bar Association",0,18,"Arizona Summit Law School",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",7420,"Phoenix",4,NA,1,-2,0,11324,11,454324,-2,1,0,0,1,0,-2,85033,NA,0,0,85,3,0,0,0,0,0,"National Accrediting Commission of Cosmetology Arts and Sciences",0,-2,"Regency Beauty Institute-Tolleson",NA,NA,0.5,0.8731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0.2936,NA,28467,NA,NA,16820,0.6031,2009,0.7634,0.2294,NA,0.4846538187,0.4709731144,0.3613445378,0.1291151755,0.0530894711,0.0272862086,56003,18082,7500,10900,0.911814137,0.791992091,24,NA,NA,0.9511616411,0.164211567,0.403954523,0.007909046,0.5290268856,33400,19299,18082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",5280,"Phoenix",4,5696,2,4,0,8884,11,456180,-2,1,0,0,1,0,10,85006,0.234,0,0,2,3,0,0,0,0,0,"Accrediting Commission of Career Schools and Colleges",0,1,"Fortis College-Phoenix",NA,NA,0.6486,0.6486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,124,NA,0,0,0,0,0,0,0,0.0081,0.6532,0.0323,0.0726,0.0081,0.0565,0.1694,NA,NA,NA,NA,NA,NA,NA,0,NA,21586,NA,NA,11000,0.6099,2009,0.5603,0.4032,NA,0.5494321977,0.376753507,0.3107344633,0.0971213344,0.0411622276,0.0199085284,42157,23154,8877,11671.5,0.919020716,0.877589454,31,NA,NA,0.7129405434,0.3155770783,0.1571159537,0.0573042776,0.623246493,26140,17933,23154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",38544,"Scottsdale",4,5208,4,0,1,52798,41,104665,-2,1,0,0,3,0,30,85261,NA,0,0,1,2,0,0,0,0,0,"North Central Association of Colleges and Schools The Higher Learning Commission",0,18,"Frank Lloyd Wright School of Architecture",NA,NA,0.7273,0.7273,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,0.7778,0,0.1111,0,0,0,0,0.1111,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0,2009,0.5556,0.4444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",4368,"Tucson",4,NA,1,-2,1,5117,11,447704,-2,1,0,0,1,0,-2,85705,NA,0,0,1,3,0,0,0,0,0,"National Accrediting Commission of Cosmetology Arts and Sciences",0,-2,"Tucson College of Beauty",NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,NA,0,0,0,0,0,0,0,0,0.0118,0.4353,0.0235,0,0.0235,0.5059,NA,NA,NA,NA,NA,NA,NA,0.3412,NA,26635,NA,NA,13785,0.3618,2009,0.4934,0.3294,NA,NA,0.5866666667,0.3189655172,NA,NA,NA,43130,24728,7010,7550,0.870689655,0.827586207,26,NA,NA,NA,0.1724137931,0.4051724138,NA,0.4133333333,32184,19549,24728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1637,"Tempe",4,NA,2,4,1,9386,12,442879,-2,1,0,0,1,0,10,85281,NA,0,0,1,3,0,0,0,0,0,"Accrediting Council for Continuing Education & Training",0,2,"Southwest Institute of Healing Arts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1482,NA,0,0,0,0,0,0,0,0,0.0121,0.8043,0.0331,0.0283,0.0061,0.1161,NA,NA,NA,NA,NA,NA,NA,0.6215,NA,26838,NA,NA,16900,0.1437,2009,0.365,0.8421,NA,0.3965811966,0.5606837607,0.2195488722,0.0857142857,0.0421052632,0.0210526316,52126,35549,7500,7916,0.972932331,0.598496241,33,NA,NA,0.8751879699,0.2766917293,0.162406015,0.0360902256,0.4393162393,38241,28056,35549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11",13914,"Phoenix",4,NA,1,-2,0,8183,11,103732,NA,0,0,0,1,0,-2,85032,NA,0,0,10,3,0,0,0,0,0,"National Accrediting Commission of Cosmetology Arts and Sciences",0,-2,"Empire Beauty School-Paradise Valley",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,NA,0.6727,0.0364,0.1818,0,0,0,0.0364,0,0.0727,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0.1091,NA,29909,NA,NA,16000,0.6491,2009,0.9737,0.3929,NA,NA,0.5902777778,0.3352272727,NA,NA,NA,57786,20014,8782,12086,NA,0.75,25,NA,NA,0.9090909091,0.1931818182,0.4090909091,NA,0.4097222222,35466,24770,20014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12",8378,"Phoenix",4,2491,3,11,1,3313,11,103787,27,0,0,0,3,1,22,85021,0.6,0,1,1,2,0,0,0,0,0,NA,0,8,"American Indian College Inc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,84,NA,0,0,0,0,0,0,0,0,0,0.131,0.0119,0.1786,0.5238,0.1548,NA,NA,NA,NA,NA,NA,NA,0.0833,16300,NA,7974,7974,NA,0.8158,2009,0.2105,0.4419,NA,NA,0.5,NA,NA,NA,NA,31363,16472,4800,NA,0.628205128,NA,26,NA,NA,0.4487179487,0.2051282051,0.5641025641,NA,0.5,24872,13385,16472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
