"","inexpfte","ugds_nhpi","city","st_fips","avgfacsal","tuitionfee_out","highdeg","ccugprof","main","tuitfte","tuitionfee_in","locale","unitid","relaffil","curroper","distanceonly","womenonly","preddeg","annhi","ugds","ccbasic","zip","pftfac","hbcu","pptug_ef2","ugds_nra","ugds_white","nanti","pctpell","ugds_aian","numbranch","control","pbi","menonly","hcm2","ugds_unkn","aanapii","hsi","ugds_black","accredagency","tribal","ugds_hisp","ccsizset","ugds_2mor","ugds_asian","instnm","sch_deg","locale2","adm_rate","adm_rate_all","satvr25","satvr75","satmt25","satmt75","satwr25","satwr75","satvrmid","satmtmid","satwrmid","actcm25","actcm75","acten25","acten75","actmt25","actmt75","actwr25","actwr75","actcmmid","actenmid","actmtmid","actwrmid","sat_avg","sat_avg_all","ug","ugds_whitenh","ugds_blacknh","ugds_api","ugds_aianold","ugds_hispold","ug_nra","ug_unkn","ug_whitenh","ug_blacknh","ug_api","ug_aianold","ug_hispold","costt4_a","costt4_p","tuitionfee_prog","year","par_ed_pct_hs","md_faminc","dep_inc_avg","faminc_ind","faminc","age_entry","first_gen","ind_inc_avg","appl_sch_pct_ge5","loan_ever","dependent","appl_sch_pct_ge2","appl_sch_pct_ge3","married","pell_ever","appl_sch_pct_ge4","veteran","par_ed_pct_ps","pctfloan","female","debt_mdn","ug25abv","par_ed_pct_ms","grad_debt_mdn","age_entry_sq","agege24","lnfaminc","lnfaminc_ind","pct_white","pct_black","pct_asian","pct_hispanic","pct_ba","pct_grad_prof","pct_born_us","median_hh_inc","poverty_rate","unemp_rate","ln_median_hh_inc"
"1",2747,0,"Prescott Valley",4,6008,8400,4,5,1,13771,8400,41,444130,-2,1,1,0,3,0,526,17,86314,0.2348,0,0.865,0,0.0722,0,0.0931,0.0019,1,3,0,0,0,0.8821,0,0,0.0342,"Western Association of Schools and Colleges Senior Colleges and University Commission",0,0.0076,12,0,0.0019,"Northcentral University",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,0.4776632302,31153,36597,40400,40153,35,0.529209622,40400,0.0619195046,0.885448916,0.0650154799,0.5510835913,0.1981424149,0.4705882353,0.634674923,0.0959752322,0.1083591331,0.470790378,0.1878,0.6687306502,1904.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1792,NA,"Tempe",4,NA,NA,1,-2,0,7186,NA,12,469133,-2,1,0,0,1,0,NA,-2,85282,NA,0,NA,NA,NA,0,NA,NA,9,3,0,0,0,NA,0,0,NA,"Accrediting Council for Continuing Education & Training",0,NA,-2,NA,NA,"Utah College of Massage Therapy-Tempe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",9560,NA,"Tucson",4,NA,NA,1,-2,1,6702,NA,11,476753,-2,1,0,0,1,0,NA,-2,85719,NA,0,NA,NA,NA,0,NA,NA,2,3,0,0,0,NA,0,0,NA,"National Accrediting Commission of Cosmetology Arts and Sciences",0,NA,-2,NA,NA,"Aveda Institute-Tucson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2998,NA,"Mesa",4,3417,NA,2,11,0,14090,NA,11,482990,-2,1,0,0,1,0,NA,26,85201,NA,0,NA,NA,NA,0,NA,NA,2,3,0,0,0,NA,0,0,NA,"Accrediting Bureau of Health Education Schools",0,NA,6,NA,NA,"Arizona College-Mesa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",12870,NA,"Phoenix",4,7976,NA,4,0,1,45692,NA,11,450942,-2,1,0,0,4,0,NA,31,85004,0.3063,0,NA,NA,NA,0,NA,NA,1,3,0,0,0,NA,0,0,NA,"American Bar Association",0,NA,18,NA,NA,"Arizona Summit Law School",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",7420,0,"Phoenix",4,NA,NA,1,-2,0,11324,NA,11,454324,-2,1,0,0,1,0,99,-2,85033,NA,0,0.303,0,0.1414,0,0.7011,0.0101,85,3,0,0,0,0.2626,0,0,0.0303,"National Accrediting Commission of Cosmetology Arts and Sciences",0,0.4444,-2,0.0909,0.0202,"Regency Beauty Institute-Tolleson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37323,17175,2010,0.4924605596,16158,49772,15422,28170,25,0.5389174584,15422,0.036492139,0.906966681,0.3711236117,0.416270013,0.1630607241,0.1675320929,0.857637386,0.0698831675,0.0087263811,0.4610825416,0.7931,0.9469926439,8375,NA,NA,13034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",5280,0.0037,"Phoenix",4,5696,NA,2,4,0,8884,NA,11,456180,-2,1,0,0,1,0,267,10,85006,0.234,0,0,0,0.1648,0,0.9021,0.1236,2,3,0,0,0,0.2322,0,0,0.1199,"Accrediting Commission of Career Schools and Colleges",0,0.2959,1,0.0487,0.0112,"Fortis College-Phoenix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22366,11350,2010,0.5467906419,15409,32026,20294,22068,31,0.624775045,20294,0.0331031198,0.924505835,0.1512264825,0.3553226959,0.1381281257,0.2912598238,0.920457252,0.0666825435,0.0535841867,0.375224955,0.8991,0.7408906883,9500,NA,NA,13468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",38544,0,"Scottsdale",4,5208,NA,4,0,1,52798,NA,41,104665,-2,1,0,0,3,0,8,30,85261,NA,0,0,0,0.625,0,0,0,1,2,0,0,0,0,0,0,0,"North Central Association of Colleges and Schools The Higher Learning Commission",0,0.375,18,0,0,"Frank Lloyd Wright School of Architecture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",4368,0,"Tucson",4,NA,NA,1,-2,1,5117,NA,11,447704,-2,1,0,0,1,0,70,-2,85705,NA,0,0.3857,0,0.3857,0,0.7926,0,1,3,0,0,0,0.0143,0,0,0.0714,"National Accrediting Commission of Cosmetology Arts and Sciences",0,0.5143,-2,0,0.0143,"Tucson College of Beauty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29373,15000,2010,0.390625,16571,36325,19325,24992,27,0.5625,19325,NA,0.875968992,0.3333333333,0.3643410853,NA,0.2248062016,0.899224806,NA,NA,0.4375,0.7926,NA,7719,NA,NA,9010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1637,0.0026,"Tempe",4,NA,NA,2,4,1,9386,NA,12,442879,-2,1,0,0,1,0,1537,10,85281,NA,0,0.5556,0,0.7931,0,0.5381,0.0091,1,3,0,0,0,0.0221,0,0,0.0377,"Accrediting Council for Continuing Education & Training",0,0.0989,2,0.0052,0.0312,"Southwest Institute of Healing Arts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29560,18280,2010,0.3992443325,24823,53130,32523,35716,34,0.4395465995,32523,0.0334448161,0.976588629,0.154960981,0.2842809365,0.1293199554,0.2664437012,0.680044593,0.0657748049,0.0289855072,0.5604534005,0.7598,0.8773690078,7916,NA,NA,7916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
