"","inexpfte","ugds_2mor","city","ugds_nhpi","st_fips","avgfacsal","ugds_aian","ugds_asian","highdeg","ccugprof","main","tuitfte","ugds_nra","ugds_unkn","locale","unitid","relaffil","ugds","curroper","distanceonly","womenonly","preddeg","annhi","ccbasic","zip","pctpell","pftfac","hbcu","ugds_white","nanti","ugds_black","numbranch","control","pbi","menonly","ugds_hisp","hcm2","aanapii","hsi","pptug_ef2","accredagency","tribal","ccsizset","instnm","sch_deg","locale2","adm_rate","adm_rate_all","satvr25","satvr75","satmt25","satmt75","satwr25","satwr75","satvrmid","satmtmid","satwrmid","actcm25","actcm75","acten25","acten75","actmt25","actmt75","actwr25","actwr75","actcmmid","actenmid","actmtmid","actwrmid","sat_avg","sat_avg_all","ug","ugds_whitenh","ugds_blacknh","ugds_api","ugds_aianold","ugds_hispold","ug_nra","ug_unkn","ug_whitenh","ug_blacknh","ug_api","ug_aianold","ug_hispold","costt4_a","costt4_p","tuitionfee_in","tuitionfee_out","tuitionfee_prog","year","appl_sch_pct_ge3","appl_sch_pct_ge2","debt_mdn","pell_ever","par_ed_pct_ps","dep_inc_avg","ind_inc_avg","faminc_ind","veteran","dependent","pctfloan","par_ed_pct_hs","md_faminc","female","age_entry","first_gen","appl_sch_pct_ge5","appl_sch_pct_ge4","grad_debt_mdn","faminc","married","loan_ever","ug25abv","par_ed_pct_ms","age_entry_sq","agege24","lnfaminc","lnfaminc_ind","pct_white","pct_black","pct_asian","pct_hispanic","pct_ba","pct_grad_prof","pct_born_us","median_hh_inc","poverty_rate","unemp_rate","ln_median_hh_inc"
"1",2747,0.0122,"Prescott Valley",0.003,4,6008,0.003,0.0182,4,5,1,13771,0,0.5319,41,444130,-2,329,1,1,0,3,0,17,86314,0.2598,0.2348,0,0.2827,0,0.1094,1,3,0,0,0.0395,0,0,0,0.7629,"Western Association of Schools and Colleges Senior Colleges and University Commission",0,12,"Northcentral University",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,0.325648415,0.6685878963,2750,0.809798271,0.470790378,26379,30286,30286,0.0518731988,0.0576368876,0.3057,0.4536082474,23419,0.7550432277,36,0.529209622,0.1095100865,0.1902017291,13028,30061,0.446685879,0.824207493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1792,0.0087,"Tempe",0.0058,4,NA,0.0405,0.0202,1,-2,0,7186,0,0.1445,12,469133,-2,346,1,0,0,1,0,-2,85282,0.6424,NA,0,0.5087,0,0.0809,9,3,0,0,0.1908,0,0,0,0.5,"Accrediting Council for Continuing Education & Training",0,-2,"Utah College of Massage Therapy-Tempe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21299,NA,NA,11765,2012,0.0997322624,0.2518964748,7995,0.815707274,0.5244834418,46818,19784,19784,0.0180722892,0.3719321731,0.9763,0.4157939428,18386,0.755243195,27,0.4755165582,0.0298973672,0.0490852298,8607,29839,0.1778224007,0.913431504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",9560,0,"Tucson",0,4,NA,0,0.0183,1,-2,1,6702,0,0.0092,11,476753,-2,109,1,0,0,1,0,-2,85719,0.2905,NA,0,0.5872,0,0.0459,2,3,0,0,0.3394,0,0,0,0.211,"National Accrediting Commission of Cosmetology Arts and Sciences",0,-2,"Aveda Institute-Tucson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21161,NA,NA,15000,2012,NA,0.4620689655,6666.5,0.744827586,0.5703125,59551,19443,19443,NA,0.4965517241,0.3176,NA,27167,0.924137931,24,0.4296875,0.0896551724,NA,NA,39359,0.1034482759,0.910344828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2998,NA,"Mesa",NA,4,3417,NA,NA,2,11,0,14090,NA,NA,11,482990,-2,NA,1,0,0,1,0,26,85201,NA,NA,0,NA,0,NA,2,3,0,0,NA,0,0,0,NA,"Accrediting Bureau of Health Education Schools",0,6,"Arizona College-Mesa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",12870,NA,"Phoenix",NA,4,7976,NA,NA,4,0,1,45692,NA,NA,11,450942,-2,NA,1,0,0,4,0,31,85004,NA,0.3063,0,NA,0,NA,1,3,0,0,NA,0,0,0,NA,"American Bar Association",0,18,"Arizona Summit Law School",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",7420,0.0536,"Phoenix",0,4,NA,0,0,1,-2,0,11324,0,0.6786,11,454324,-2,56,1,0,0,1,0,-2,85033,0.7755,NA,0,0.0179,0,0.0714,85,3,0,0,0.1786,0,0,0,0.3214,"National Accrediting Commission of Cosmetology Arts and Sciences",0,-2,"Regency Beauty Institute-Tolleson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25395,NA,NA,17525,2012,0.2015557609,0.4590264941,9000,0.889864449,0.4882677386,43448,12142,12142,0.0078558226,0.3887861984,0.7415,0.4585397775,13603,0.9554836722,24,0.5117322614,0.0593037585,0.102202711,14144,24314,0.1386321627,0.893638324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",5280,0.0538,"Phoenix",0.0038,4,5696,0.0115,0.0154,2,4,0,8884,0,0.0731,11,456180,-2,260,1,0,0,1,0,10,85006,0.6772,0.234,0,0.2154,0,0.1769,2,3,0,0,0.45,0,0,0,0,"Accrediting Commission of Career Schools and Colleges",0,1,"Fortis College-Phoenix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24232,NA,13801,13801,NA,2012,0.2029440154,0.4724903475,12057,0.939671815,0.4034929238,30344,17308,17308,0.0209942085,0.1636100386,0.6772,0.5284552846,14447,0.8086389961,31,0.5965070762,0.0576737452,0.1008687259,19834,19441,0.2531370656,0.908542471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",38544,0,"Scottsdale",0,4,5208,0,0,4,0,1,52798,0.3333,0,41,104665,-2,3,1,0,0,3,0,30,85261,0.5,NA,0,0.3333,0,0,1,2,0,0,0.3333,0,0,0,0,"North Central Association of Colleges and Schools The Higher Learning Commission",0,18,"Frank Lloyd Wright School of Architecture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",4368,0.0952,"Tucson",0,4,NA,0,0,1,-2,1,5117,0,0,11,447704,-2,63,1,0,0,1,0,-2,85705,0.275,NA,0,0.3333,0,0.0476,1,3,0,0,0.5238,0,0,0,0.3333,"National Accrediting Commission of Cosmetology Arts and Sciences",0,-2,"Tucson College of Beauty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17862,NA,NA,15000,2012,NA,0.4385964912,6365,0.903508772,0.5,37983,16978,16978,NA,0.2280701754,0.325,NA,12862,NA,27,0.5,NA,NA,6365,21769,0.1929824561,0.903508772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1637,0.008,"Tempe",0.0035,4,NA,0.0133,0.0106,2,4,1,9386,0,0.054,12,442879,-2,1130,1,0,0,1,0,10,85281,0.2721,NA,0,0.746,0,0.0566,1,3,0,0,0.108,0,0,0,0,"Accrediting Council for Continuing Education & Training",0,2,"Southwest Institute of Healing Arts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26289,NA,NA,18500,2012,0.1657801418,0.3554964539,7505,0.713652482,0.5794297352,53579,27450,27450,0.024822695,0.1356382979,0.5904,0.383910387,20876,0.8936170213,34,0.4205702648,0.0576241135,0.1028368794,7916,30994,0.265070922,0.961879433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
