"","inexpfte","city","st_fips","avgfacsal","ugds_black","highdeg","ccugprof","main","tuitfte","locale","unitid","relaffil","curroper","distanceonly","womenonly","preddeg","annhi","ccbasic","zip","pctpell","pftfac","hbcu","ugds_2mor","nanti","ugds_white","ugds","ugds_hisp","numbranch","ugds_unkn","ugds_nra","control","pbi","menonly","pptug_ef2","hcm2","aanapii","hsi","ugds_aian","ugds_asian","accredagency","tribal","ccsizset","instnm","ugds_nhpi","sch_deg","locale2","adm_rate","adm_rate_all","satvr25","satvr75","satmt25","satmt75","satwr25","satwr75","satvrmid","satmtmid","satwrmid","actcm25","actcm75","acten25","acten75","actmt25","actmt75","actwr25","actwr75","actcmmid","actenmid","actmtmid","actwrmid","sat_avg","sat_avg_all","ug","ugds_whitenh","ugds_blacknh","ugds_api","ugds_aianold","ugds_hispold","ug_nra","ug_unkn","ug_whitenh","ug_blacknh","ug_api","ug_aianold","ug_hispold","costt4_a","costt4_p","tuitionfee_in","tuitionfee_out","tuitionfee_prog","year","loan_ever","par_ed_pct_ps","appl_sch_pct_ge4","appl_sch_pct_ge5","appl_sch_pct_ge2","md_faminc","pctfloan","debt_mdn","pell_ever","married","ug25abv","grad_debt_mdn","appl_sch_pct_ge3","par_ed_pct_hs","veteran","female","faminc","first_gen","age_entry","par_ed_pct_ms","dep_inc_avg","ind_inc_avg","age_entry_sq","agege24","dependent","faminc_ind","lnfaminc","lnfaminc_ind","pct_white","pct_black","pct_asian","pct_hispanic","pct_ba","pct_grad_prof","pct_born_us","median_hh_inc","poverty_rate","unemp_rate","ln_median_hh_inc"
"1",2747,"Prescott Valley",4,6008,0.144,4,5,1,13771,41,444130,-2,1,1,0,3,0,17,86314,0.304,0.2348,0,0.016,0,0.44,250,0.076,1,0.3,0,3,0,0,0.724,0,0,0,0.004,0.016,"Western Association of Schools and Colleges Senior Colleges and University Commission",0,12,"Northcentral University",0.004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,0.782857143,0.5069444444,0.1428571429,0.0742857143,0.7028571429,25367,0.3283,7725,0.714285714,0.4457142857,0.944,15625,0.2742857143,0.4236111111,0.1657142857,0.8057142857,34503,0.4930555556,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1792,"Tempe",4,NA,0.1074,1,-2,0,7186,12,469133,-2,1,0,0,1,0,-2,85282,0.7101,NA,0,0.0061,0,0.4632,326,0.2393,9,0.1319,0,3,0,0,0.4325,0,0,0,0.0337,0.0123,"Accrediting Council for Continuing Education & Training",0,-2,"Utah College of Massage Therapy-Tempe",0.0061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21512,NA,NA,11957,2013,0.915382847,0.5345649583,0.0611634859,0.0365601288,0.2736261209,18012,0.8696,7917,0.791676247,0.1664750517,0.4908,8607,0.1117498275,0.4070321812,0.0177052196,0.7449988503,28995,0.4654350417,27,NA,44674,19834,NA,NA,0.3688204185,19834,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",9560,"Tucson",4,NA,0.0339,1,-2,1,6702,11,476753,-2,1,0,0,1,0,-2,85719,0.3537,NA,0,0.0254,0,0.5508,118,0.3475,2,0.0085,0,3,0,0,0.161,0,0,0,0.0169,0.0169,"National Accrediting Commission of Cosmetology Arts and Sciences",0,-2,"Aveda Institute-Tucson",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18611,NA,NA,15250,2013,0.945017182,0.58984375,NA,NA,0.4467353952,24775,0.415,6333,0.728522337,0.1305841924,0.2458,7170,0.2096219931,NA,NA,0.9381443299,39564,0.41015625,24,NA,58866,23089,NA,NA,0.4604810997,23089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2998,"Mesa",4,3417,0.1975,2,11,0,14090,11,482990,-2,1,0,0,1,0,26,85201,NA,NA,0,0.0679,0,0.0679,162,0.3704,2,0.0185,0,3,0,0,0,0,0,0,0.2407,0.0123,"Accrediting Bureau of Health Education Schools",0,6,"Arizona College-Mesa",0.0247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15024,15024,NA,2013,0.800911854,0.4309210526,0.1073961499,0.0739614995,0.4154002026,14227,NA,9473,0.888551165,0.2147922999,0.4198,9475,0.1849037487,0.4335526316,0.0197568389,0.8323201621,19881,0.5690789474,28,NA,29646,15379,NA,NA,0.3156028369,15379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",12870,"Phoenix",4,7976,NA,4,0,1,45692,11,450942,-2,1,0,0,4,0,31,85004,NA,0.3063,0,NA,0,NA,NA,NA,1,NA,NA,3,0,0,NA,0,0,0,NA,NA,"American Bar Association",0,18,"Arizona Summit Law School",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",7420,"Phoenix",4,NA,0.0714,1,-2,0,11324,11,454324,-2,1,0,0,1,0,-2,85033,0.8713,NA,0,0.1143,0,0.1429,70,0.1571,85,0.5143,0,3,0,0,0.2429,0,0,0,0,0,"National Accrediting Commission of Cosmetology Arts and Sciences",0,-2,"Regency Beauty Institute-Tolleson",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23304,NA,NA,17300,2013,0.884841764,0.496090535,0.1148170264,0.0667064745,0.4652392732,13070,0.8713,9500,0.889704001,0.1293184338,0.2429,14144,0.2151326452,0.4534979424,0.0097244733,0.9541926128,23670,0.503909465,24,NA,42072,11606,NA,NA,0.3959737269,11606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",5280,"Phoenix",4,5696,0.1697,2,4,0,8884,11,456180,-2,1,0,0,1,0,10,85006,0.8731,0.234,0,0.0406,0,0.2804,271,0.3137,2,0.1624,0,3,0,0,0,0,0,0,0.0221,0.0111,"Accrediting Commission of Career Schools and Colleges",0,1,"Fortis College-Phoenix",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24528,NA,12428,12428,NA,2013,0.892877493,0.4173313996,0.1193732194,0.0663817664,0.4974358974,14818,0.9423,13155,0.931908832,0.2558404558,0.5277,23648,0.2205128205,0.5192168238,0.0207977208,0.813960114,19289,0.5826686004,31,NA,29459,17309,NA,NA,0.162962963,17309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",38544,"Scottsdale",4,5208,0,4,0,1,52798,41,104665,-2,1,0,0,3,0,30,85261,0.3333,NA,0,0,0,0.5,2,0,1,0,0.5,2,0,0,0,0,0,0,0,0,"North Central Association of Colleges and Schools The Higher Learning Commission",0,18,"Frank Lloyd Wright School of Architecture",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2013,NA,NA,NA,NA,NA,NA,0.3333,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",4368,"Tucson",4,NA,0.0469,1,-2,1,5117,11,447704,-2,1,0,0,1,0,-2,85705,0.2302,NA,0,0.0313,0,0.4531,64,0.4531,1,0.0156,0,3,0,0,0.125,0,0,0,0,0,"National Accrediting Commission of Cosmetology Arts and Sciences",0,-2,"Tucson College of Beauty",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13959,NA,NA,15000,2013,0.843478261,0.5,NA,NA,0.4260869565,15412,0.254,6365,0.913043478,0.2086956522,0.4219,6365,NA,NA,NA,NA,22911,0.5,28,NA,29418,20716,NA,NA,0.252173913,20716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1637,"Tempe",4,NA,0.0621,2,4,1,9386,12,442879,-2,1,0,0,1,0,10,85281,0.2616,NA,0,0.0047,0,0.742,1062,0.1158,1,0.0386,0,3,0,0,0,0,0,0,0.0151,0.0169,"Accrediting Council for Continuing Education & Training",0,2,"Southwest Institute of Healing Arts",0.0047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33668,NA,NA,17625,2013,0.953648069,0.576436222,0.0995708155,0.0592274678,0.3622317597,19263,0.6434,7326.5,0.690987125,0.2583690987,0.8493,7917,0.1682403433,0.3875365141,0.0120171674,0.9030042918,29377,0.423563778,34,NA,53632,25403,NA,NA,0.1407725322,25403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
