"","inexpfte","city","st_fips","avgfacsal","highdeg","ccugprof","main","tuitfte","locale","unitid","relaffil","pctpell","curroper","ugds_nhpi","distanceonly","womenonly","ugds_aian","ugds","preddeg","annhi","ccbasic","zip","ugds_2mor","pftfac","hbcu","ugds_black","nanti","ugds_unkn","ugds_asian","numbranch","control","pptug_ef2","ugds_nra","pbi","menonly","hcm2","ugds_white","aanapii","hsi","accredagency","tribal","ugds_hisp","ccsizset","instnm","sch_deg","locale2","adm_rate","adm_rate_all","satvr25","satvr75","satmt25","satmt75","satwr25","satwr75","satvrmid","satmtmid","satwrmid","actcm25","actcm75","acten25","acten75","actmt25","actmt75","actwr25","actwr75","actcmmid","actenmid","actmtmid","actwrmid","sat_avg","sat_avg_all","ug","ugds_whitenh","ugds_blacknh","ugds_api","ugds_aianold","ugds_hispold","ug_nra","ug_unkn","ug_whitenh","ug_blacknh","ug_api","ug_aianold","ug_hispold","costt4_a","costt4_p","tuitionfee_in","tuitionfee_out","tuitionfee_prog","year","appl_sch_pct_ge3","md_faminc","loan_ever","married","par_ed_pct_ps","debt_mdn","age_entry","female","faminc","pctfloan","appl_sch_pct_ge2","pell_ever","first_gen","grad_debt_mdn","ug25abv","par_ed_pct_ms","par_ed_pct_hs","appl_sch_pct_ge4","appl_sch_pct_ge5","dep_inc_avg","ind_inc_avg","age_entry_sq","agege24","dependent","veteran","faminc_ind","lnfaminc","lnfaminc_ind","pct_white","pct_black","pct_asian","pct_hispanic","pct_ba","pct_grad_prof","pct_born_us","median_hh_inc","poverty_rate","unemp_rate","ln_median_hh_inc"
"1",2747,"Prescott Valley",4,6008,4,5,1,13771,41,444130,-2,0.384,1,0,1,0,0.0096,208,3,0,17,86314,0.024,0.2348,0,0.1394,0,0.2308,0.0144,1,3,0.7404,0,0,0,0,0.524,0,0,"Western Association of Schools and Colleges Senior Colleges and University Commission",0,0.0577,12,"Northcentral University",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,0.2676056338,25029,0.802816901,0.4718309859,0.6209677419,11513,37,0.7957746479,33454,0.388,0.661971831,0.73943662,0.3790322581,17920.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1792,"Tempe",4,NA,1,-2,0,7186,12,469133,-2,0.5292,1,0.003,0,0,0.0395,329,1,0,-2,85282,0.0182,NA,0,0.1094,0,0.0881,0.0152,9,3,0.4347,0,0,0,0,0.4529,0,0,"Accrediting Council for Continuing Education & Training",0,0.2736,-2,"Utah College of Massage Therapy-Tempe",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22902,NA,NA,12007,2014,0.1026033691,18907,0.906074528,0.1615620214,0.543699187,7866,27,0.7368555385,29505,0.8793,0.2590607453,0.748596223,0.456300813,8607,NA,NA,0.3909214092,0.0533435426,0.0303726391,44860,20224,NA,NA,0.3767228178,0.016590097,20224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",9560,"Tucson",4,NA,1,-2,1,6702,11,476753,-2,0.4,1,0,0,0,0.0357,140,1,0,-2,85719,0.0357,NA,0,0.0143,0,0.0143,0.0143,2,3,0.1929,0,0,0,0,0.5286,0,0,"National Accrediting Commission of Cosmetology Arts and Sciences",0,0.3571,-2,"Aveda Institute-Tucson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19322,NA,NA,17200,2014,0.1855010661,24775,0.938166311,0.144989339,0.5491606715,9624,24,0.9424307036,39696,0.445,0.4392324094,0.710021322,0.4508393285,10555,NA,NA,0.4100719424,0.0959488273,0.0639658849,58237,22452,NA,NA,0.4818763326,NA,22452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",2998,"Mesa",4,3417,2,11,0,14090,11,482990,-2,0.716,1,0.0089,0,0,0.1488,336,1,0,26,85201,0.0149,NA,0,0.0863,0,0.006,0.0149,2,3,0,0,0,0,0,0.3661,0,0,"Accrediting Bureau of Health Education Schools",0,0.3542,6,"Arizona College-Mesa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23612,NA,15223,15223,NA,2014,0.1805225653,14626,0.803800475,0.206175772,0.423594132,9473,28,0.8503562945,20107,0.9444,0.4104513064,0.86175772,0.576405868,9477,NA,NA,0.4511002445,0.1073634204,0.0669833729,29341,16100,NA,NA,0.3026128266,0.0142517815,16100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",12870,"Phoenix",4,7976,4,0,1,45692,11,450942,-2,NA,1,NA,0,0,NA,NA,4,0,31,85004,NA,0.3063,0,NA,0,NA,NA,1,3,NA,NA,0,0,0,NA,0,0,"American Bar Association",0,NA,18,"Arizona Summit Law School",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",7420,"Phoenix",4,NA,1,-2,0,11324,11,454324,-2,0.8636,1,0,0,0,0,51,1,0,-2,85033,0.1176,NA,0,0.0588,0,0.4706,0,85,3,0.2157,0,0,0,0,0.2157,0,0,"National Accrediting Commission of Cosmetology Arts and Sciences",0,0.1373,-2,"Regency Beauty Institute-Tolleson",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24246,NA,NA,17400,2014,0.2039036956,12463,0.866144853,0.128603983,0.4881307408,9500,24,0.9533339939,23288,0.8091,0.4615079758,0.887545824,0.5118692592,14144,NA,NA,0.4636764881,0.1092836619,0.0670761914,41621,11427,NA,NA,0.3928465273,0.0096106212,11427,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",5280,"Phoenix",4,5696,2,4,0,8884,11,456180,-2,0.7786,1,0,0,0,0.0103,290,1,0,10,85006,0.0276,0.234,0,0.1793,0,0.1828,0.0103,2,3,0,0,0,0,0,0.2724,0,0,"Accrediting Commission of Career Schools and Colleges",0,0.3172,1,"Fortis College-Phoenix",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23686,NA,13527,13527,NA,2014,0.2094017094,15257,0.894327894,0.2486402486,0.4170359429,15582,31,0.8158508159,19904,0.7601,0.4731934732,0.914918415,0.5829640571,23710,NA,NA,0.5150172329,0.1045066045,0.0551670552,30400,17949,NA,NA,0.156954157,0.0240870241,17949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",38544,"Scottsdale",4,5208,4,0,1,52798,41,104665,-2,NA,1,NA,0,0,NA,NA,3,0,30,85261,NA,NA,0,NA,0,NA,NA,1,2,NA,NA,0,0,0,NA,0,0,"North Central Association of Colleges and Schools The Higher Learning Commission",0,NA,18,"Frank Lloyd Wright School of Architecture",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",4368,"Tucson",4,NA,1,-2,1,5117,11,447704,-2,0.2178,1,0,0,0,0.0536,56,1,0,-2,85705,0.0357,NA,0,0.0893,0,0.0179,0.0179,1,3,0.0357,0,0,0,0,0.2321,0,0,"National Accrediting Commission of Cosmetology Arts and Sciences",0,0.5536,-2,"Tucson College of Beauty",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17420,NA,NA,15000,2014,NA,13524,0.828282828,0.1818181818,NA,6382.5,29,NA,18938,0.2871,0.3939393939,NA,0.5333333333,9010,NA,NA,0.4888888889,NA,NA,26316,16951,NA,NA,0.2121212121,NA,16951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",1637,"Tempe",4,NA,2,4,1,9386,12,442879,-2,0.3841,1,0.0042,0,0,0.0159,943,1,0,10,85281,0.0053,NA,0,0.0371,0,0.0329,0.0223,1,3,0,0,0,0,0,0.7741,0,0,"Accrediting Council for Continuing Education & Training",0,0.1082,2,"Southwest Institute of Healing Arts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28906,NA,NA,17880,2014,0.160768453,20083,0.95247725,0.2628918099,0.5748847926,7885,34,0.9089989889,30528,0.9701,0.3397371082,0.617795753,0.4251152074,7917,NA,NA,0.3928571429,0.0930232558,0.0616784631,52821,27094,NA,NA,0.1334681496,0.0111223458,27094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
