"","df09.instnm","df09.inexpfte","df09.tuitfte","df10.instnm","df10.inexpfte","df10.tuitfte","df11.instnm","df11.inexpfte","df11.tuitfte","df12.instnm","df12.inexpfte","df12.tuitfte","df13.instnm","df13.inexpfte","df13.tuitfte","df14.instnm","df14.inexpfte","df14.tuitfte"
"1","Northcentral University",2747,13771,"Northcentral University",2747,13771,"Northcentral University",2747,13771,"Northcentral University",2747,13771,"Northcentral University",2747,13771,"Northcentral University",2747,13771
"2","Utah College of Massage Therapy-Tempe",1792,7186,"Utah College of Massage Therapy-Tempe",1792,7186,"Utah College of Massage Therapy-Tempe",1792,7186,"Utah College of Massage Therapy-Tempe",1792,7186,"Utah College of Massage Therapy-Tempe",1792,7186,"Utah College of Massage Therapy-Tempe",1792,7186
"3","Aveda Institute-Tucson",9560,6702,"Aveda Institute-Tucson",9560,6702,"Aveda Institute-Tucson",9560,6702,"Aveda Institute-Tucson",9560,6702,"Aveda Institute-Tucson",9560,6702,"Aveda Institute-Tucson",9560,6702
"4","Arizona College-Mesa",2998,14090,"Arizona College-Mesa",2998,14090,"Arizona College-Mesa",2998,14090,"Arizona College-Mesa",2998,14090,"Arizona College-Mesa",2998,14090,"Arizona College-Mesa",2998,14090
"5","Arizona Summit Law School",12870,45692,"Arizona Summit Law School",12870,45692,"Arizona Summit Law School",12870,45692,"Arizona Summit Law School",12870,45692,"Arizona Summit Law School",12870,45692,"Arizona Summit Law School",12870,45692
"6","Regency Beauty Institute-Tolleson",7420,11324,"Regency Beauty Institute-Tolleson",7420,11324,"Regency Beauty Institute-Tolleson",7420,11324,"Regency Beauty Institute-Tolleson",7420,11324,"Regency Beauty Institute-Tolleson",7420,11324,"Regency Beauty Institute-Tolleson",7420,11324
"7","Fortis College-Phoenix",5280,8884,"Fortis College-Phoenix",5280,8884,"Fortis College-Phoenix",5280,8884,"Fortis College-Phoenix",5280,8884,"Fortis College-Phoenix",5280,8884,"Fortis College-Phoenix",5280,8884
"8","Frank Lloyd Wright School of Architecture",38544,52798,"Frank Lloyd Wright School of Architecture",38544,52798,"Frank Lloyd Wright School of Architecture",38544,52798,"Frank Lloyd Wright School of Architecture",38544,52798,"Frank Lloyd Wright School of Architecture",38544,52798,"Frank Lloyd Wright School of Architecture",38544,52798
"9","Tucson College of Beauty",4368,5117,"Tucson College of Beauty",4368,5117,"Tucson College of Beauty",4368,5117,"Tucson College of Beauty",4368,5117,"Tucson College of Beauty",4368,5117,"Tucson College of Beauty",4368,5117
"10","Southwest Institute of Healing Arts",1637,9386,"Southwest Institute of Healing Arts",1637,9386,"Southwest Institute of Healing Arts",1637,9386,"Southwest Institute of Healing Arts",1637,9386,"Southwest Institute of Healing Arts",1637,9386,"Southwest Institute of Healing Arts",1637,9386
"11","Empire Beauty School-Paradise Valley",13914,8183,"Empire Beauty School-Paradise Valley",13914,8183,"Empire Beauty School-Paradise Valley",13914,8183,"Empire Beauty School-Paradise Valley",13914,8183,"Empire Beauty School-Paradise Valley",13914,8183,"Empire Beauty School-Paradise Valley",13914,8183
"12","American Indian College Inc",8378,3313,"American Indian College Inc",8378,3313,"American Indian College Inc",8378,3313,"American Indian College Inc",8378,3313,"American Indian College Inc",8378,3313,"American Indian College Inc",8378,3313
"13","Carrington College-Tucson",2581,13497,"Carrington College-Tucson",2581,13497,"Carrington College-Tucson",2581,13497,"Carrington College-Tucson",2581,13497,"Carrington College-Tucson",2581,13497,"Carrington College-Tucson",2581,13497
"14","Brookline College-Phoenix",6269,16664,"Brookline College-Phoenix",6269,16664,"Brookline College-Phoenix",6269,16664,"Brookline College-Phoenix",6269,16664,"Brookline College-Phoenix",6269,16664,"Brookline College-Phoenix",6269,16664
"15","Rio Salado College",2173,2724,"Rio Salado College",2173,2724,"Rio Salado College",2173,2724,"Rio Salado College",2173,2724,"Rio Salado College",2173,2724,"Rio Salado College",2173,2724
"16","Arizona Western College",5285,679,"Arizona Western College",5285,679,"Arizona Western College",5285,679,"Arizona Western College",5285,679,"Arizona Western College",5285,679,"Arizona Western College",5285,679
"17","ITT Technical Institute-Tucson",1722,19470,"ITT Technical Institute-Tucson",1722,19470,"ITT Technical Institute-Tucson",1722,19470,"ITT Technical Institute-Tucson",1722,19470,"ITT Technical Institute-Tucson",1722,19470,"ITT Technical Institute-Tucson",1722,19470
"18","Universal Technical Institute of Arizona Inc",3241,12401,"Universal Technical Institute of Arizona Inc",3241,12401,"Universal Technical Institute of Arizona Inc",3241,12401,"Universal Technical Institute of Arizona Inc",3241,12401,"Universal Technical Institute of Arizona Inc",3241,12401,"Universal Technical Institute of Arizona Inc",3241,12401
"19","Empire Beauty School-NW Phoenix",7609,8236,"Empire Beauty School-NW Phoenix",7609,8236,"Empire Beauty School-NW Phoenix",7609,8236,"Empire Beauty School-NW Phoenix",7609,8236,"Empire Beauty School-NW Phoenix",7609,8236,"Empire Beauty School-NW Phoenix",7609,8236
"20","Cochise County Community College District",3140,744,"Cochise County Community College District",3140,744,"Cochise County Community College District",3140,744,"Cochise County Community College District",3140,744,"Cochise County Community College District",3140,744,"Cochise County Community College District",3140,744
"21","Phoenix College",5044,1488,"Phoenix College",5044,1488,"Phoenix College",5044,1488,"Phoenix College",5044,1488,"Phoenix College",5044,1488,"Phoenix College",5044,1488
"22","Paradise Valley Community College",5299,1876,"Paradise Valley Community College",5299,1876,"Paradise Valley Community College",5299,1876,"Paradise Valley Community College",5299,1876,"Paradise Valley Community College",5299,1876,"Paradise Valley Community College",5299,1876
"23","Arizona College-Glendale",2399,11275,"Arizona College-Glendale",2399,11275,"Arizona College-Glendale",2399,11275,"Arizona College-Glendale",2399,11275,"Arizona College-Glendale",2399,11275,"Arizona College-Glendale",2399,11275
"24","The Art Institute of Phoenix",4650,13708,"The Art Institute of Phoenix",4650,13708,"The Art Institute of Phoenix",4650,13708,"The Art Institute of Phoenix",4650,13708,"The Art Institute of Phoenix",4650,13708,"The Art Institute of Phoenix",4650,13708
"25","Eastern Arizona College",5555,752,"Eastern Arizona College",5555,752,"Eastern Arizona College",5555,752,"Eastern Arizona College",5555,752,"Eastern Arizona College",5555,752,"Eastern Arizona College",5555,752
"26","Carrington College-Mesa",6542,14755,"Carrington College-Mesa",6542,14755,"Carrington College-Mesa",6542,14755,"Carrington College-Mesa",6542,14755,"Carrington College-Mesa",6542,14755,"Carrington College-Mesa",6542,14755
"27","Northern Arizona University",7510,7331,"Northern Arizona University",7510,7331,"Northern Arizona University",7510,7331,"Northern Arizona University",7510,7331,"Northern Arizona University",7510,7331,"Northern Arizona University",7510,7331
