Major,Major_category,ShareWomen (std),Median Income (std)
PHARMACOLOGY,Biology & Life Science,1.207471748,-0.084780466
COGNITIVE SCIENCE AND BIOPSYCHOLOGY,Biology & Life Science,0.586372043,-0.388109502
GENETICS,Biology & Life Science,0.371927517,-0.463941761
MOLECULAR BIOLOGY,Biology & Life Science,0.713946304,-0.463941761
MICROBIOLOGY,Biology & Life Science,0.65629567,-0.615606279
BIOCHEMICAL SCIENCES,Biology & Life Science,0.371332387,-0.661105634
BOTANY,Biology & Life Science,0.430300652,-0.691438538
ENVIRONMENTAL SCIENCE,Biology & Life Science,0.671983187,-0.797603701
PHYSIOLOGY,Biology & Life Science,0.818360991,-0.843103056
NEUROSCIENCE,Biology & Life Science,0.904986174,-0.843103056
MISCELLANEOUS BIOLOGY,Biology & Life Science,0.550451191,-0.956851445
BIOLOGY,Biology & Life Science,0.747209357,-0.964434671
ECOLOGY,Biology & Life Science,0.636348091,-0.994767574
ZOOLOGY,Biology & Life Science,0.901275548,-1.525593387
COMPUTER SCIENCE,Computers & Mathematics,-0.901326078,0.521877607
INFORMATION SCIENCES,Computers & Mathematics,-0.808247474,-0.084780466
COMPUTER AND INFORMATION SYSTEMS,Computers & Mathematics,-0.767029122,-0.084780466
APPLIED MATHEMATICS,Computers & Mathematics,0.018688874,-0.084780466
MATHEMATICS,Computers & Mathematics,0.078689904,-0.084780466
STATISTICS AND DECISION SCIENCE,Computers & Mathematics,0.419459843,-0.084780466
MATHEMATICS AND COMPUTER SCIENCE,Computers & Mathematics,-1.091382878,-0.312277243
COMPUTER PROGRAMMING AND DATA PROCESSING,Computers & Mathematics,-0.699157139,-0.365359824
COMPUTER ADMINISTRATION MANAGEMENT AND SECURITY,Computers & Mathematics,-1.083118617,-0.653522408
COMPUTER NETWORKING AND TELECOMMUNICATIONS,Computers & Mathematics,-0.543458274,-0.736937893
COMMUNICATION TECHNOLOGIES,Computers & Mathematics,-0.277491835,-0.843103056
PETROLEUM ENGINEERING,Engineering,-1.345372417,4.844316372
MINING AND MINERAL ENGINEERING,Engineering,-1.426731078,2.190187306
METALLURGICAL ENGINEERING,Engineering,-1.204185291,2.038522788
NAVAL ARCHITECTURE AND MARINE ENGINEERING,Engineering,-1.402986104,1.81102601
NUCLEAR ENGINEERING,Engineering,-1.239274065,1.431864715
CHEMICAL ENGINEERING,Engineering,-0.384215209,1.431864715
MECHANICAL ENGINEERING,Engineering,-1.3497439,1.05270342
AEROSPACE ENGINEERING,Engineering,-1.26177043,1.05270342
ELECTRICAL ENGINEERING,Engineering,-1.01543367,1.05270342
COMPUTER ENGINEERING,Engineering,-1.002553726,1.05270342
MATERIALS SCIENCE,Engineering,-0.518172674,1.05270342
BIOMEDICAL ENGINEERING,Engineering,0.034116843,1.05270342
