Major,Major_category,Total,Men,Women,ShareWomen,Median Income
PHARMACOLOGY,Biology & Life Science,1762,515,1247,0.707718502,45000
COGNITIVE SCIENCE AND BIOPSYCHOLOGY,Biology & Life Science,3831,1667,2164,0.56486557,41000
GENETICS,Biology & Life Science,3635,1761,1874,0.515543329,40000
MOLECULAR BIOLOGY,Biology & Life Science,18300,7426,10874,0.59420765,40000
MICROBIOLOGY,Biology & Life Science,15232,6383,8849,0.580948004,38000
BIOCHEMICAL SCIENCES,Biology & Life Science,39107,18951,20156,0.515406449,37400
BOTANY,Biology & Life Science,1329,626,703,0.52896915,37000
ENVIRONMENTAL SCIENCE,Biology & Life Science,25965,10787,15178,0.584556133,35600
PHYSIOLOGY,Biology & Life Science,22060,8422,13638,0.618223028,35000
NEUROSCIENCE,Biology & Life Science,13663,4944,8719,0.63814682,35000
MISCELLANEOUS BIOLOGY,Biology & Life Science,10706,4747,5959,0.556603774,33500
BIOLOGY,Biology & Life Science,280709,111762,168947,0.601858152,33400
ECOLOGY,Biology & Life Science,9154,3878,5276,0.576360061,33000
ZOOLOGY,Biology & Life Science,8409,3050,5359,0.637293376,26000
COMPUTER SCIENCE,Computers & Mathematics,128319,99743,28576,0.222695002,53000
INFORMATION SCIENCES,Computers & Mathematics,11913,9005,2908,0.244103081,45000
COMPUTER AND INFORMATION SYSTEMS,Computers & Mathematics,36698,27392,9306,0.253583302,45000
APPLIED MATHEMATICS,Computers & Mathematics,4939,2794,2145,0.434298441,45000
MATHEMATICS,Computers & Mathematics,72397,39956,32441,0.448098678,45000
STATISTICS AND DECISION SCIENCE,Computers & Mathematics,6251,2960,3291,0.526475764,45000
MATHEMATICS AND COMPUTER SCIENCE,Computers & Mathematics,609,500,109,0.178981938,42000
COMPUTER PROGRAMMING AND DATA PROCESSING,Computers & Mathematics,4168,3046,1122,0.269193858,41300
COMPUTER ADMINISTRATION MANAGEMENT AND SECURITY,Computers & Mathematics,8066,6607,1459,0.180882718,37500
COMPUTER NETWORKING AND TELECOMMUNICATIONS,Computers & Mathematics,7613,5291,2322,0.305004597,36400
COMMUNICATION TECHNOLOGIES,Computers & Mathematics,18035,11431,6604,0.366176878,35000
PETROLEUM ENGINEERING,Engineering,2339,2057,282,0.120564344,110000
MINING AND MINERAL ENGINEERING,Engineering,756,679,77,0.101851852,75000
METALLURGICAL ENGINEERING,Engineering,856,725,131,0.153037383,73000
NAVAL ARCHITECTURE AND MARINE ENGINEERING,Engineering,1258,1123,135,0.107313196,70000
NUCLEAR ENGINEERING,Engineering,2573,2200,373,0.144966965,65000
CHEMICAL ENGINEERING,Engineering,32260,21239,11021,0.341630502,65000
MECHANICAL ENGINEERING,Engineering,91227,80320,10907,0.119558903,60000
AEROSPACE ENGINEERING,Engineering,15058,12953,2105,0.139792801,60000
ELECTRICAL ENGINEERING,Engineering,81527,65511,16016,0.196450256,60000
COMPUTER ENGINEERING,Engineering,41542,33258,8284,0.199412643,60000
MATERIALS SCIENCE,Engineering,4279,2949,1330,0.310820285,60000
BIOMEDICAL ENGINEERING,Engineering,14955,8407,6548,0.437846874,60000
ENGINEERING MECHANICS PHYSICS AND SCIENCE,Engineering,4321,3526,795,0.183985189,58000
BIOLOGICAL ENGINEERING,Engineering,8925,6062,2863,0.320784314,57100
INDUSTRIAL AND MANUFACTURING ENGINEERING,Engineering,18968,12453,6515,0.343473218,57000
GENERAL ENGINEERING,Engineering,61152,45683,15469,0.252959838,56000
ARCHITECTURAL ENGINEERING,Engineering,2825,1835,990,0.350442478,54000
ELECTRICAL ENGINEERING TECHNOLOGY,Engineering,11565,8181,3384,0.292607004,52000
MATERIALS ENGINEERING AND MATERIALS SCIENCE,Engineering,2993,2020,973,0.325091881,52000
MISCELLANEOUS ENGINEERING,Engineering,9133,7398,1735,0.189970437,50000
CIVIL ENGINEERING,Engineering,53153,41081,12072,0.227117943,50000
ENGINEERING TECHNOLOGIES,Engineering,3600,2695,905,0.251388889,50000
GEOLOGICAL AND GEOPHYSICAL ENGINEERING,Engineering,720,488,232,0.322222222,50000
ENVIRONMENTAL ENGINEERING,Engineering,4047,2662,1385,0.342228811,50000
INDUSTRIAL PRODUCTION TECHNOLOGIES,Engineering,4631,3477,1154,0.24919024,46000
ENGINEERING AND INDUSTRIAL MANAGEMENT,Engineering,2906,2400,506,0.174122505,44000
MECHANICAL ENGINEERING RELATED TECHNOLOGIES,Engineering,4790,4419,371,0.077453027,40000
MISCELLANEOUS ENGINEERING TECHNOLOGIES,Engineering,8804,7043,1761,0.200022717,40000
ARCHITECTURE,Engineering,46420,25463,20957,0.451464886,40000
NURSING,Health,209394,21773,187621,0.896018988,48000
MEDICAL TECHNOLOGIES TECHNICIANS,Health,15914,3916,11998,0.75392736,45000
MEDICAL ASSISTING SERVICES,Health,11123,803,10320,0.927807246,42000
PHARMACY PHARMACEUTICAL SCIENCES AND ADMINISTRATION,Health,23551,8697,14854,0.630716318,40000
MISCELLANEOUS HEALTH MEDICAL PROFESSIONS,Health,13386,1589,11797,0.881293889,36000
HEALTH AND MEDICAL ADMINISTRATIVE SERVICES,Health,18109,4266,13843,0.764426528,35000
NUTRITION SCIENCES,Health,18909,2563,16346,0.864456079,35000
COMMUNITY AND PUBLIC HEALTH,Health,19735,4103,15632,0.792095262,34000
HEALTH AND MEDICAL PREPARATORY PROGRAMS,Health,12740,5521,7219,0.566640502,33500
